学校,省市,总分
保山学院,云南,90.9
华北科技学院,河北,90.6
兰州文理学院,甘肃,90.4
赣南科技学院,江西,90.3
兰州工业学院,甘肃,90.2
兴义民族师范学院,贵州,90.2
忻州师范学院,山西,90.2
山东石油化工学院,山东,90.0
沧州师范学院,河北,89.5
琼台师范学院,海南,89.4
邢台学院,河北,89.4
四川民族学院,四川,88.4
邯郸学院,河北,88.0
贵州工程应用技术学院,贵州,87.9
黑河学院,黑龙江,87.8
百色学院,广西,87.5
衡水学院,河北,86.9
广西民族师范学院,广西,86.5
绥化学院,黑龙江,86.5
普洱学院,云南,86.3
汉江师范学院,湖北,85.7
河北民族师范学院,河北,85.4
晋中学院,山西,85.4
文山学院,云南,85.4
新疆工程学院,新疆,85.2
鄂尔多斯应用技术学院,内蒙古,85.0
赣东学院,江西,84.2
吕梁学院,山西,84.2
集宁师范学院,内蒙古,83.5
太原学院,山西,83.4
广西科技师范学院,广西,83.2
山西工程技术学院,山西,82.9
张家口学院,河北,82.9
河池学院,广西,82.4
河套学院,内蒙古,82.3
滇西科技师范学院,云南,82.2
黑龙江工业学院,黑龙江,80.9
廊坊师范学院,河北,80.3
河北水利电力学院,河北,79.6
甘肃民族师范学院,甘肃,79.5
山西能源学院,山西,78.3
昭通学院,云南,78.1
新疆理工学院,新疆,77.7
昌吉学院,新疆,77.0
滇西应用技术大学,云南,74.8
沈阳工程学院,辽宁,74.7
河北工业职业技术大学,河北,74.0
内蒙古科技大学包头师范学院,内蒙古,71.5
河北石油职业技术大学,河北,63.8
山西工程科技职业大学,山西,62.1
山西科技学院,山西,55.6
广西农业职业技术大学,广西,51.1
新疆政法学院,新疆,43.5
河池学院,广西,82.4
河套学院,内蒙古,82.3
滇西科技师范学院,云南,82.2
黑龙江工业学院,黑龙江,80.9
廊坊师范学院,河北,80.3
河北水利电力学院,河北,79.6
甘肃民族师范学院,甘肃,79.5
山西能源学院,山西,78.3
昭通学院,云南,78.1
新疆理工学院,新疆,77.7
昌吉学院,新疆,77.0
滇西应用技术大学,云南,74.8
沈阳工程学院,辽宁,74.7
河北工业职业技术大学,河北,74.0
内蒙古科技大学包头师范学院,内蒙古,71.5
河北石油职业技术大学,河北,63.8
山西工程科技职业大学,山西,62.1
山西科技学院,山西,55.6
广西农业职业技术大学,广西,51.1
新疆政法学院,新疆,43.5
河池学院,广西,82.4
河套学院,内蒙古,82.3
滇西科技师范学院,云南,82.2
黑龙江工业学院,黑龙江,80.9
廊坊师范学院,河北,80.3
河北水利电力学院,河北,79.6
甘肃民族师范学院,甘肃,79.5
山西能源学院,山西,78.3
昭通学院,云南,78.1
